Complexity metrics,ÖÜÁù, 27 3ÔÂ 2021 16:01:50 CST
Method,CogC,ev(G),iv(G),v(G)
"Constant.Constant(BigInteger)",0,1,1,1
"Constant.diff()",0,1,1,1
"Constant.getNumber()",0,1,1,1
"Constant.setNumber(BigInteger)",0,1,1,1
"Constant.toString()",0,1,1,1
"ExprFactor.ExprFactor(ExprNode,boolean)",0,1,1,1
"ExprFactor.diff()",0,1,1,1
"ExprFactor.getExprNode()",0,1,1,1
"ExprFactor.getNeg()",0,1,1,1
"ExprFactor.setNeg(boolean)",0,1,1,1
"ExprFactor.toString()",0,1,1,1
"ExprNode.ExprNode()",0,1,1,1
"ExprNode.ExprNode(Item)",0,1,1,1
"ExprNode.addItem(Item)",0,1,1,1
"ExprNode.diff()",4,1,3,3
"ExprNode.getItemList()",0,1,1,1
"ExprNode.mergeItems()",9,4,4,5
"ExprNode.simplify()",1,1,2,2
"ExprNode.toString()",15,1,4,7
"Expression.Expression(String)",0,1,1,1
"Expression.diff()",1,2,1,2
"Expression.getConstant(int,int)",4,1,4,5
"Expression.getExprFactor(int)",5,3,4,4
"Expression.getExpression()",8,3,4,4
"Expression.getFactor()",10,8,9,10
"Expression.getItem()",13,4,8,8
"Expression.getNumber(int)",7,1,5,7
"Expression.getPowerFun(int,int)",3,1,3,3
"Expression.getTriFun(int,int)",4,1,3,4
"Expression.setPos(int)",0,1,1,1
"Expression.toString()",0,1,1,1
"FactorFather.diff()",0,1,1,1
"FactorFather.getFuntype()",0,1,1,1
"FactorFather.getNeg()",0,1,1,1
"FactorFather.getNumber()",0,1,1,1
"FactorFather.getPow()",0,1,1,1
"FactorFather.setFuntype(String)",0,1,1,1
"FactorFather.setNeg(boolean)",0,1,1,1
"FactorFather.setNumber(BigInteger)",0,1,1,1
"FactorFather.setPow(BigInteger)",0,1,1,1
"Item.Item(ArrayList<Factor>)",0,1,1,1
"Item.Item(Factor)",0,1,1,1
"Item.addFactor(Factor)",0,1,1,1
"Item.diff()",48,2,9,16
"Item.equals(Object)",3,4,2,4
"Item.getFactorList()",0,1,1,1
"Item.merge(Item)",32,7,8,11
"Item.simpNewList(ArrayList<Factor>,boolean)",5,2,5,6
"Item.simplify()",13,3,7,8
"Item.toString()",15,3,5,8
"Main.main(String[])",0,1,1,1
"PowerFun.PowerFun(BigInteger,boolean)",0,1,1,1
"PowerFun.diff()",25,13,11,13
"PowerFun.getNeg()",0,1,1,1
"PowerFun.getPow()",0,1,1,1
"PowerFun.setNeg(boolean)",0,1,1,1
"PowerFun.setPow(BigInteger)",0,1,1,1
"PowerFun.toString()",14,6,4,6
"TriFun.TriFun(String,BigInteger,boolean)",0,1,1,1
"TriFun.diff()",47,11,13,20
"TriFun.getFuntype()",0,1,1,1
"TriFun.getNeg()",0,1,1,1
"TriFun.getPow()",0,1,1,1
"TriFun.setFuntype(String)",0,1,1,1
"TriFun.setNeg(boolean)",0,1,1,1
"TriFun.setPow(BigInteger)",0,1,1,1
"TriFun.toString()",28,6,4,12

Class,OCavg,OCmax,WMC
"Constant",1.00,1,5
"ExprFactor",1.00,1,6
"ExprNode",2.62,7,21
"Expression",3.33,8,40
"FactorFather",1.00,1,9
"Item",5.50,14,55
"Main",1.00,1,1
"PowerFun",3.43,13,24
"TriFun",4.33,20,39

Package,v(G)avg,v(G)tot
"",3.16,212

Module,v(G)avg,v(G)tot
"homework2",3.16,212

Project,v(G)avg,v(G)tot
"project",3.16,212

